ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
929,Instagram,like,0.56,100,50000,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,Unspecified,Unspecified,Instagram Likes [ Always INSTANT Working Slow ] [ 100-200 Per Hour ] [ LOW DROP ]
826,Instagram,like,0.6,20,20000,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,Unspecified,Unspecified,Instagram REAL ACCOUNT  likes [ 𝐍𝐨 𝐃𝐫𝐨𝐩 𝐒𝐞𝐫𝐯𝐢𝐜𝐞 ]
457,Instagram,story view,0.06,100,25000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Unspecified,Unspecified,Instagram Story Views [25K] Instant
458,Instagram,story view,0.28,100,150000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Story Views [40K] [ALL POSTS] ⚡️⚡️⚡️💧⭐🔥
459,Instagram,story view,0.08,100,25000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Story Views [25K] [Recent story ]
146,Instagram,view,0.07,500,4000000,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,Unspecified,Unspecified,Instagram Views + Impressions + Profile Visits [1.5M] [REAL] [INSTANT]
633,Instagram,view,0.135,250,1000000,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,Unspecified,Unspecified,Instagram - Views + Profile Visits + Impressions + Interaction + Reach  INSTANT SERVICE
661,Instagram,saves,0.22,20,400000,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Saves [400K]
878,Instagram,follower,5.8,100,100000,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,Brazil,Unspecified,Brazil Instagram Followers  [ Good Quality ]  [10K ] [ Refill Button 30 Days ] [INSTANT]
879,Instagram,follower,3.8,50,10000,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,Brazil,Unspecified,Brazil Instagram  Followers [ Good Quality ] [10K ] [ NO REFILL ] [INSTANT - 1 HOUR ]
