ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
3,Instagram,follower,10.6,100,70000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,Unspecified,Unspecified,Instagram Followers { Auto Refill MAX 3K } 30 Days Refill - Private profile accepted [ Best 1]
18,Instagram,follower,6.0,100,50000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,Unspecified,Unspecified,Instagram Followers [50K] [R30] [4H] 
45,Instagram,follower,8.0,20,6000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,Instagram Followers [6K] [R30] 
59,Instagram,follower,10.0,50,5000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,Instagram Followers (5k/day  30 Days Refill   Auto Refill ) Non Drop [ recommended]
158,Instagram,follower,10.58,20,50000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Unspecified,Unspecified,Instagram Followers [50K] [AUTO Refill R30] [INSTANT 3K- 5K/Day] [Best Service] [ Recommended]
4,Instagram,follower,3.8,100,4000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Followers S1 [Low Drop || No Refill] [Best Seller] [INSTANT]
13,Instagram,follower,0.6,50,10000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Unspecified,Unspecified,Instagram Followers S2 [High Drop] [Max 10K] [INSTANT]
35,Instagram,follower,5.0,250,2000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,Unspecified,Unspecified,Instagram Followers [Max 2k] [0-1Hr] [Always Working]
39,Instagram,follower,6.2,200,3000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Unspecified,Unspecified,Instagram Followers S4 [ Max 3K ]⚡⚡❤️ [Working Fast in Update]
52,Instagram,follower,0.9,50,25000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Followers High Drop No Refill [Max 10k] [Instant]
72,Instagram,follower,4.6,100,1000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Unspecified,Unspecified,Instagram Followers S7 (Recommended)
130,Instagram,follower,4.4,100,10000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Unspecified,Unspecified,Instagram Followers S9 [Max 10K] ⚡⚡
7,Instagram,like,1.4,20,10000,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,India,Unspecified,Instagram Likes [INDIAN USERS] [Max 10K]
9,Instagram,like,0.32,10,5000,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,Unspecified,Unspecified,Instagram Likes [5K] [Bots likes with Profile Picture] [FAST]
11,Instagram,like,0.54,20,50000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Unspecified,Unspecified,Instagram Likes [Instant Start] [Max 50K] [No Refill if Drops]
34,Instagram,like,1.3,50,3000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Unspecified,Unspecified,Instagram Likes  [Up to 15% Drop Max]
50,Instagram,like,2.1,100,10000,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Unspecified,Unspecified,Instagram Likes [Max 10K] [Fast Speed] [HQ] [No Refill]
66,Instagram,like,1.4,50,5000,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,Instagram Likes [Max 50k] [No Drop] [ Heart Media Exclusive]
101,Instagram,like,3.1,50,20000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Unspecified,Unspecified,SUPERFAST Instagram Likes [Max 20K] [Instant]
185,Instagram,like,100.0,100,50000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,Instagram Likes - Auto - Unlimited Picture 30 Days
194,Instagram,like,60.0,100,10000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,Unspecified,Unspecified,Instagram Auto Likes {15 Days Package) [Unlimited Posts] 
105,Instagram,like,1.44,50,5000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,Brazil,Unspecified,Brazilian Instagram Likes
107,Instagram,like,0.5,50,2500,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,Japan,Unspecified,Japanese Instagram Likes
79,Instagram,like,0.44,50,1000,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 2 Likes per Minute
80,Instagram,like,0.44,50,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 5 Likes per minute
81,Instagram,like,0.44,100,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 10 Likes per minute
82,Instagram,like,0.44,100,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 25 Likes per minute
83,Instagram,like,0.44,100,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 50 Likes per minute
84,Instagram,like,0.44,50,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 75 Likes per minute
85,Instagram,like,0.44,50,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 100 Likes per minute
86,Instagram,like,0.44,50,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 125 Likes per minute
87,Instagram,like,0.44,50,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 150 Likes per minute
88,Instagram,like,0.44,50,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 175 Likes per minute
89,Instagram,like,0.44,50,1000,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes - 200 Likes per minute
94,Instagram,view,0.06,100,1000000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,Unspecified,Unspecified,Instagram Views + Impressions [Instant]
114,Instagram,view,0.22,500,50000000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,Unspecified,Unspecified,Instagram Views + Impressions + Profile Visits [5M] [SUPER INSTANT] [1 Min Delivery]
161,Instagram,view,0.3,500,1000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,Unspecified,Unspecified,Instagram Views + Impressions [TRENDING HITS] [1M] [Fast] [Check Description]⚡⚡
