ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
318,Instagram,like,1.0,100,25000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Unspecified,Unspecified,Instagram Likes + Views + Impressions [25K] ⚡️💧 
323,Instagram,view,0.01,1000,1000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,Unspecified,Unspecified,❤️ LOWEST Instagram Views max 1000 ⚡️
188,Instagram,view,0.01,1000,100000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,Unspecified,Unspecified,Instagram Views [10M] ⭐
189,Instagram,like,0.1,100,7000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Unspecified,Unspecified,Instagram Fast Likes [7K] ⚡️⚡️⚡️ 
190,Instagram,like,0.1,50,15000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Likes [15K ] INSTANT (Recommended ) 
191,Instagram,story view,0.36,100,5000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,Instagram Last Story Views [5K] 🔥 
192,Instagram,follower,0.4,100,1000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,Unspecified,Unspecified,Instagram Followers [1K] ⚡️💧
193,Instagram,follower,0.44,100,10000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Unspecified,Unspecified,Instagram Followers [10K]🔥🔥
194,Instagram,follower,0.46,200,6000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,Unspecified,Unspecified,Rs 30 Instagram Followers [6K]-Super Fast 
195,Instagram,saves,0.3,100,5000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,Instagram Saves [5K] 
