ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
1158,YouTube,view,2.85,50,50000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,YouTube HR Views - [ Good For Watchtime ][ Speed: 3K/Day ][ 5-20 Minutes High-Retention ][ 30 Days Refill Button ✔ ][ Start: 2hr 🔥
1171,Instagram,follower,3.0,50,5000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,Unspecified,Unspecified,♛ Instagram SUPER-HIGH QUALITY Followers Less-Drop No-Refill Instant 🔥🔥 3$/K  [10%-DropRatio]
1247,Instagram,follower,3.4,200,10000,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,Real Instagram Followers | Max 10K | 20 Days Manual Refill | Daily Speed 400-500
842,Instagram,view,0.048,500,100000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,Unspecified,Unspecified,♛ Instagram Views - [ Max - 500k ] [ FAST ] SUPER INSTANT 
844,Instagram,view,0.1028,500,100000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,Unspecified,Unspecified,♛ Instagram Views + Impressions [ Max - 1M ] [ TRENDING HITS ] INSTANT 
845,Instagram,view,0.1025,500,100000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,Unspecified,Unspecified,♛ Instagram Views + Impressions - [ Max - 10M ] [ SUPERFAST ] SUPER INSTANT 
846,Instagram,view,0.1634,500,100000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,Unspecified,Unspecified,♛ Instagram Views + Impressions + Profile Visits [ Max - 10M ] [ ULTRAFST ] SUPER INSTANT 
1114,Instagram,view,0.0396,500,100000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,Unspecified,Unspecified,♛ Instagram Views - [ Max - 500k ] [ FAST ] SUPER INSTANT 
1139,Instagram,like,1.74,50,3000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Unspecified,Unspecified,Instagram Real Likes | Max 3K | INSTANT | SUPERFAST
1140,Instagram,like,0.84,20,5000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Unspecified,Unspecified,Instagram Real Likes | Max 5K | Hourly Speed 300
