ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
2146,Instagram,follower,32.34,1 / 1,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  📣Instagram Followers [2K] Through ADS - Real  
2143,Instagram,follower,43.0122,1 / 1,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  📣Instagram Followers [5K] Through ADS - Real  
2144,Instagram,follower,59.829,1 / 1,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  📣Instagram Followers [7K] Through ADS - Real  
2145,Instagram,follower,75.4068,1 / 1,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  📣Instagram Followers [10K] Through ADS - Real  
2147,Instagram,follower,431.2,1 / 1,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  📣Instagram Followers [25K] Through ADS - Real  
2148,Instagram,follower,1.9404,100 / 5000,empty,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,India,Unspecified,  🇮🇳Instagram follower 99% Real Indian🇮🇳 [No Refill]  
2155,Instagram,follower,2.4794,100 / 10000,empty,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russia,Unspecified,  Instagram 🇷🇺Russian Followers - Russian- No refill  
2150,Instagram,follower,5.433400000000001,100 / 1000,empty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Indonesia,Unspecified,  🇮🇩Instagram Followers [INDONESIA] [12H - 500/Day]  
2152,Instagram,follower,7.2772,10 / 1000,empty,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Brazil,Unspecified,  🇧🇷 Instagram Followers [BRAZIL][No Refill]  
2156,Instagram,follower,10.031,25 / 5000,empty,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Brazil,Unspecified,  Instagram 🇧🇷 Brazil Followers ⚡🌟⚡Very Less drop - No refill  
2151,Instagram,follower,11.6438,100 / 10000,empty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Brazil,Unspecified,  ♻🇧🇷Instagram Followers [BRAZIL] [R30] [SLOW] ♻  
2153,Instagram,follower,12.775,25 / 1000,empty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Brazil,Unspecified,  🇧🇷 Instagram Followers [BRAZIL - MALE] [1K] [1H - INSTANT]  
2154,Instagram,follower,12.775,25 / 1000,empty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Brazil,Unspecified,  🇧🇷 Instagram Followers [BRAZIL][ FEMALE] 🙆‍♀️  
2159,Instagram,follower,0.77,1 / 30000,empty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,  ✅Instagram Followers[R15] [3k/day]  
2160,Instagram,follower,2.45,50 / 15000,empty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,  🔥 Instagram followers [3k/ Day][R30]  
2163,Instagram,follower,2.8000000000000003,25 / 50000,empty,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  🎊⚡️ Instagram followers [R30] - 0-30% Drop  
2161,Instagram,follower,3.15,50 / 30000,empty,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  🐼✅Instagram Real Followers [NON-DROP AR30 ]⚡️  
2157,Instagram,follower,3.29,50 / 50000,empty,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  ⚡♻️Instagram Followers [Best Service - Refill ] [50k]  
2158,Instagram,follower,3.5,50 / 50000,empty,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  ♻️Instagram Followers [Best Service- Autorefill ] [50k]  
2162,Instagram,follower,4.2700000000000005,50 / 15000,empty,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  🔥Instagram Followers R30 ( Real ) 0-15% DROP  
2167,Instagram,follower,0.3094,20 / 10000,empty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  🔥🌟IG Cheapest Followers In the Market 🔥  
2164,Instagram,follower,0.49,30 / 8000,empty,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  💧IG Followers 15k Max - No refill ( Cancel anytime )  
2166,Instagram,follower,0.56,20 / 10000,empty,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  🔥IG followers 10k Max - Bot accounts  
2165,Instagram,follower,0.77,30 / 8000,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  🔥IG Followers Real & Mixed. NR  
2168,Instagram,follower,0.84,50 / 5000,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Unspecified,Unspecified,  ♦️ Instagram Real Followers - Slow delivery but good quality  
2169,Instagram,follower,1.0584,50 / 2500,empty,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Unspecified,Unspecified,  💪IG SuperFast ⚡️ Followers - Less drops 💪  
2171,Instagram,like,0.6706,50 / 50000,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  💫IG Likes - Natural Speed - Real Likes  
2170,Instagram,like,0.8231999999999999,50 / 20000,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Asia,Unspecified,  💥IG Instant Likes ( Asian accounts ) Real accounts  
2173,Instagram,like,0.9058,10 / 100000,empty,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,  ♳ IG Likes R30 ( One time refill )  
2172,Instagram,like,0.9408000000000001,50 / 5000,empty,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Unspecified,Unspecified,  🐢IG Likes Slow - Real Accounts.  
2175,Instagram,like,1.176,50 / 50000,empty,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,  ⚡︎⚡︎IG likes Super-instant - Non Drop ( Good Server )  
