ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
630,Instagram,follower,1.9,100,5000,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,Unspecified,Unspecified,Instagram Followers | LESS DROP | Max 5K 🔥🔥
823,Instagram,like,0.45,10,10000,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,Unspecified,Unspecified,Instagram Likes [Instant Start] [5K / Hour] [Real + Bots] [Non Drop] [10K]🚀🚀
656,Instagram,like,0.57,20,50000,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Unspecified,Unspecified,Instagram Likes [100% Real Accounts⚡⚡] - [Speed 1K / Hour]
535,YouTube,view,1.2,1000,1000000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,Youtube Views [20K / Day] [ Retention 30 Sec - 3 Mins] [Lifetime Guaranteed]
654,Instagram,like,0.65,100,10000,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,Instagram Likes [Real Likes] [2K / Day] [10K]
692,Instagram,follower,4.0,20,20000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,Instagram Followers [Refill 30] [0 - 5 Hours] [2K / Day] (Max 20k)
320,Instagram,follower,6.5,50,50000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,Unspecified,Unspecified,Instagram Followers [Guaranteed] [FASTEST] [Refill 30] [50K]
18,Instagram,like,0.29,20,10000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Unspecified,Unspecified,Instagram Likes (Instant) [5K / Hour] [30K] 🚀
476,Instagram,like,0.8,10,30000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,Unspecified,Unspecified,Instagram Likes (SUPER FAST) (30K / Hour) ⚡️🔥🔥{0.8$}
661,Facebook,like,3.1,50,10000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,Facebook Post Likes (Instanat Start) [Max 10K]
