ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
804,Instagram,,0.09,100,1000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,🔸 Instagram - 𝗩𝗶𝗲𝘄𝘀 - [1M]
802,Instagram,,0.49,10,15000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,🔸 Instagram - 𝗟𝗶𝗸𝗲𝘀 - [ 15K ] ⚡️ ~ ɴᴏ ʀᴇꜰɪʟʟ ~
801,Instagram,,1.08,20,25000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,🔸 Instagram - 𝗙𝗼𝗹𝗹𝗼𝘄𝗲𝗿𝘀 - [10K] ⚡️ ~ ɴᴏ ʀᴇꜰɪʟʟ ~
822,TikTok,,0.01,100,100000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,🔔 TikTok - 𝗩𝗶𝗲𝘄𝘀 [1M] [ Speed 1M / Day ]
800,Spotify,,0.95,1000,10000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,🟢 Spotify - 𝗣𝗹𝗮𝘆𝘀 - [ 1M ] 🔥
803,Spotify,,1.75,1000,10000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,Unspecified,Unspecified,🟢 𝐔𝐒𝐀 Spotify - 𝗣𝗹𝗮𝘆𝘀 - [ 1M ]
806,YouTube,,7.83,100,5000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,⭕️ Youtube - 𝗟𝗶𝗸𝗲𝘀 - [5K] ~ ɴᴏ ʀᴇꜰɪʟʟ ~
805,Facebook,,13.2,500,70000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,🔹 Facebook - 𝗣𝗮𝗴𝗲 𝗟𝗶𝗸𝗲𝘀 - [70K]
807,SoundCloud,,0.09,100,1500000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,Unspecified,Unspecified,🎵 SoundCloud Fast - 𝗣𝗹𝗮𝘆𝘀 - [1.5M] ⚡️⭐
897,YouTube,view,1.7,1000,100000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,🔹Youtube Views - [ G∞ - Max 100m ] [ Speed 50k - 200k/D ]⚡️ ~ NEW
839,YouTube,view,2.89,200,10000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,🔹 Youtube Views - [ G15 - Max 2M ] [ Speed 50K+/D ]⚡️
149,YouTube,view,3.29,100,10000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,Unspecified,Unspecified,🔹 Youtube Views [AR30] [INSTANT - 100K/Day] 🔥
584,YouTube,view,2.7,1000,10000000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False,Unspecified,Unspecified,Youtube Views [100M] [INSTANT - 250K/Day] ~ 𝑭𝒂𝒔𝒕𝒆𝒔 ~ 𝑵𝒐 𝑹𝒆𝒇𝒊𝒍𝒍
585,YouTube,view,3.69,500,1000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,Youtube Views - [ G15 - Max 1M ] [ Max Speed 10K+/D ][ 𝐍𝐨𝐧 𝐃𝐫𝐨𝐩 ]⚡️
586,YouTube,view,3.86,500,10000000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,Unspecified,Unspecified,Youtube Views - [ G30 - Max Speed 10K+/D ] [ NON DROP | 𝐒𝐭𝐚𝐫𝐭 𝐢𝐧 𝐬𝐨𝐦𝐞 𝐦𝐢𝐧 ]♻⚡️⭐🔥
758,YouTube,view,4.0,1000,1000000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,Unspecified,Unspecified,Youtube Views - [ G30 - 𝐇𝐑 ] [ 2-5 Min Retention ] [ Max Speed 1K/D ]⚡
418,YouTube,view,4.5,100,2147483647,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,Youtube Views - [ 𝐑𝐀𝐕 + 𝐄𝐧𝐠𝐚𝐠𝐞𝐦𝐞𝐧𝐭𝐬 ] [ Source: Youtube.com ]⚡️⭐
823,YouTube,view,9.99,100,100000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,Unspecified,Unspecified,Youtube 𝐇𝐑 Views - [ G30 - Max 10K ] [ 8 - 13 mins watch times ]⭐
824,YouTube,ads view,120.0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,30 000 YouTube ADS Views
571,YouTube,ads view,200.0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,50 000 YouTube ADS Views
572,YouTube,ads view,400.0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,100 000 YouTube ADS Views
573,YouTube,ads view,950.0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,250 000 YouTube ADS Views
855,YouTube,ads view,1800.0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,500 000 YouTube ADS Views
856,YouTube,ads view,3000.0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,1 000 000 YouTube ADS Views
826,YouTube,view,7.0,1000,10000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,USA,Unspecified,🇺🇸 Youtube Views | USA
827,YouTube,view,6.99,1000,10000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Canada,Unspecified,🇨🇦 Youtube Views | Canada
825,YouTube,view,6.99,1000,1000000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,UK,Unspecified,🇬🇧 Youtube Views | UK
840,YouTube,,22.5,1000,30000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,Unspecified,Unspecified,⭕️ Youtube - 𝐒𝐮𝐛𝐬𝐜𝐫𝐢𝐛𝐞𝐫𝐬 - [ Max 30K ] [24H+ | 3k-5k/Day] ⚡️🔥
712,YouTube,subscriber,27.5,5,1500,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,Unspecified,Unspecified,Youtube Subscribers [10K] [R30] [24H - 80/Day] ♻
