ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
1899,TikTok,view,0.004,1000,1000000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Unspecified,Unspecified,TikTok Views [ 500k/DAY ] [CHEAP IN MARKET ] [ INSTANT ]
1670,Instagram,like,0.7,50,10000,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,Unspecified,Unspecified,Instagram Like [ REAL LIKES ] [ 5K MAX ] [ INSTANT ]
1671,Instagram,like,0.69,50,75000,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,Instagram Like [ REAL LIKES ] [ 50K MAX ] [ START TIME 0-15 MIN ]
1906,Instagram,like,0.85,10,100000,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,Unspecified,Unspecified,Instagram Real HQ Likes - [ Max - 100K ][ Speed: 8K/Day ][ NON DROP ][ Natural Pattern ][ Start: 0-10 Min
1991,Instagram,like,0.51,20,2000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Like - Real - Instant - Max 2K - 0-15 Minutes
1992,Instagram,like,0.54,20,2000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Like - %100 Real - Instant - Max 2K - 0-15 Minutes
1993,Instagram,like,0.6,20,5000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Like - Real - Instant - Max 5K - 0-15 Minutes
1994,Instagram,like,0.64,50,5000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram Like - Real - Instant - Max 5K - 0-30 Minutes
1996,Instagram,like,0.66,50,50000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Turkey,Unspecified,Instagram Like - %100 Turkish Real - Instant - Max 50K - 0-5 Minutes
1997,Instagram,like,0.78,50,50000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Turkey,Unspecified,Instagram Like - %100 Turkish Real - Instant - Max 20K - 0-5 Minutes
1600,Instagram,like,0.75,100,15000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,India,Unspecified,Instagram Likes  🇮🇳 ( INDIAN )  [ Mixed Quality ] [ 5k/Hour ] [ Start Time 0-10Min ]
1907,Instagram,like,3.08,20,200000,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Arab,Unspecified,Instagram Likes 🇦🇪 ( ARABIC )  [ Max 200K] [ Speed: 5K/Day ] [ Super-High-Quality ] [ You Will Get 1M Profile followers ] Start: 0-5 Min
