ID,Site,Product,Price/1000,Min,Max,Active,Real,Bot,No Drip,Drip,Non-drip,No Drop,Drop,Non-drop,Random,Custom,No Refill,Refill,Non-refill,Female,Male,Power,HQ,LQ,No Guarantee,Guarantee,Refund,No refund,Non-refund,Slow,Fast,Instant,Day,Hour,Bundle,Geo,From,Service
1033,Instagram,like,0.98,50,3000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,Unspecified,Unspecified,Instagram real likes [ Non droop - HQ - Lifetime Guarantee ]
1245,Instagram,like,1.74,20,5000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,Instagram Power Likes {3K} - Real Users
1253,Instagram,like,1.04,50,3000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Unspecified,Unspecified,Instagram Real Likes [ Max 1k ]
1246,Instagram,like,0.44,100,8000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,Unspecified,Unspecified,Instagram likes [ 8k] [ slow]
1233,Instagram,like,2.04,50,20000,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,Unspecified,Unspecified,Instagram Power Likes [ 20k ] [ real active profiles ]
1125,Instagram,like,3.88,50,20000,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,Unspecified,Unspecified,Instagram powerful real likes [20k max ] [ 100% real active ][ Instant ]
1254,Instagram,like,1.1,20,50000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Turkey,Unspecified,Instagram Likes 100% Real [Turkey + Asia ]
1255,Instagram,like,3.75,100,10000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Arab,Unspecified,Instagram Likes [200] [ARAB - SUPER REAL] [6H - 200/Day]
1256,Instagram,like,1.2,100,10000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Brazil,Unspecified,Instagram Likes [3K] [BRAZIL - REAL]
342,Instagram,like,0.95,20,10000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unspecified,Unspecified,Instagram Auto Likes [10K]
