,ID,ServiceName,Price,Min,Max
0,521,♛ [S7] ● Instagram Followers [You will get 15.000 Followers] [Real Followers] [Complete time 1-7 days],                       65                      ,1,1
1,564,♛ [S6] ● Instagram Followers [You will get 10.000 Followers] [Real Followers] [Complete time 1-7 days],                       45                      ,1,1
2,565,♛ [S5] ● Instagram Followers [You will get 7000 Followers] [Real Followers] [Complete time 1-5 days],                       30                      ,1,1
3,237,♛ [S4] ● Instagram Followers [You will get 5000 Followers] [Real Followers] [Complete time 1-5 days],                       25                      ,1,1
4,236,♛ [S3] ● Instagram Followers [Max.5K] [Real Followers] [Complete time 1-5 days],                       5                      ,1000,5000
5,40,♛ [S2] ● Instagram Followers [Max.3K] [Real Followers] [Complete time 1-3 days],                       4                      ,500,3000
6,46,♛ [S1] ● Instagram Followers [Max.1K] [Real Followers] [Complete time 1 day],                       3.50                      ,500,1000
7,239,? [S1] Instagram Followers - [ Max - 1K ]   INSTANT ??,                       2.30                      ,100,1000
8,238,? S6 Instagram Followers - [ Max - 500 ]   SUPER FAST ??,                       1.85                      ,100,500
9,561,?[S6] Instagram Followers - [ Max - 2K ]  FAST ??,                       2.35                      ,100,2000
10,192,? [S1] Instagram Followers - [ Max - 1k ]   INSTANT ??,                       2.10                      ,100,1000
11,609,Instagram Followers [ BRAZIL REAL USERS ] [ LESS DROPS ] [ MAX 15000 ] SUPER INSTANT,                       13.90                      ,25,15000
12,608,Instagram Followers [ BRAZIL REAL USERS ] [ LESS DROPS ] [ MAX 5000 ] SUPER INSTANT,                       11.85                      ,25,5000
13,607,Instagram Followers [ BRAZIL REAL USERS ] [ LESS DROPS ] [ MAX 250 ] SUPER INSTANT,                       10.85                      ,10,250
14,606,Instagram Followers - Russian [ Max - 3k ] [ No Refill ] INSTANT-1HRS,                       4.20                      ,100,10000
15,612,Instagram Followers - [ MALE ] [ BRAZIL ] [ Max - 1k ] SUPER INSTANT,                       18.35                      ,25,5000
16,613,Instagram Followers - [ FEMALE ] [ BRAZIL ] [ Max - 1k ] SUPER INSTANT,                       18.35                      ,25,4000
17,610,Instagram Followers - [ MALE ] [ REAL USERS ] SUPER INSTANT,                       18.35                      ,25,5000
18,611,Instagram Followers - [ FEMALE ] [ REAL USERS ] SUPER INSTANT,                       18.35                      ,25,4000
19,625,Instagram Likes - [ MALE ] [ BRAZIL ] [ Max - 500 ] SUPER INSTANT,                       7.85                      ,15,500
20,626,Instagram Likes - [ FEMALE ] [ BRAZIL ] [ Max - 500 ] SUPER INSTANT,                       7.85                      ,15,500
21,623,Instagram Likes - [ Male ] [ REAL USERS ] SUPER INSTANT,                       7.85                      ,15,500
22,624,Instagram Likes - [ FEMALE ] [ REAL USERS ] SUPER INSTANT,                       7.85                      ,15,500
23,24,❤ [M3] ● Instagram BOT Likes [Max.10K] [FAST] ??,                       0.40                      ,50,10000
24,621,Instagram Likes - Brazil [ REAL USERS ] [ Max - 1K ] SUPER INSTANT,                       7.20                      ,30,2500
25,620,❤ [S5] ● Instagram Likes [Max.5K] [NATURAL INCREASES]  FAST ??,                       1.50                      ,100,5000
26,622,Instagram Likes - Russia [ Mostly Female ] [ Max - 2k ] INSTANT,                       1.75                      ,50,2000
27,523,❤ [S1] Instagram Likes - [ Max - 7k ]  FAST ??,                       1.35                      ,50,7000
28,512,❤ [S4] ● Instagram Likes [Max.5K] [NATURAL INCREASES]  FAST ??,                       1                      ,50,5000
29,532,❤ [S7]  Instagram BOT Likes [ Max - 10K ] [ Fastest  Working ] INSTANT,                       0.90                      ,50,100000
30,34,▶️ [S4] ● Instagram Video ( Views + Location+ Impression + Explore + Home + Profile ) INSTANT ,                       0.30                      ,100,2000000
31,45,[ S9 ] Instagram LİVE  Views  [ Max- 1K ] INSTANT,                       12                      ,100,1000
32,31,▶ [S0] ● Instagram Views + Impressions + Profile Visits  [ SUPERFAST ] SUPER INSTANT,                       0.30                      ,500,500000
33,33,▶ [S2] ● Instagram Views   [ SUPERFAST ] SUPER INSTANT ,                       0.08                      ,100,5000000
34,32,▶ [S1] ● Instagram Views  [ SUPERFAST ] SUPER INSTANT ,                       0.04                      ,100,100000
35,630,Instagram - Random Comments [ FEMALE ] [ BRAZIL ] SUPER INSTANT,                       105                      ,5,500
36,629,Instagram - Random Comments [ MALE ] [ BRAZIL ] SUPER INSTANT,                       105                      ,5,500
37,628,Instagram - Custom Comments [ FEMALE ] [ BRAZIL ] SUPER INSTANT,                       147                      ,1,500
38,627,Instagram - Custom Comments [ MALE ] [ BRAZIL ] SUPER INSTANT,                       147                      ,1,500
39,47,Instagram - English Comments   Emojies [ Instant ],                       12                      ,10,500
40,44,Instagram - ( S5 ) RANDOM COMMENTS [ Max - 500k ] INSTANT,                       1                      ,20,500000
41,502,Instagram - TV Views S1 [ Instant ],                       0.075                      ,50,10000000
42,504,Instagram - TV Likes S1 [ Instant ] ,                       4                      ,20,2000
43,505,Instagram - TV USA Likes [ Instant ] ,                       4                      ,20,2000
44,579,♛ Youtube - Views [ 20k-30k/day ] [ Life Time Guaranteed ] INSTANT,                       3.37                      ,1000,100000000
45,580,♛ Youtube - Views [ No Refill ] [ 100k-200k/day ] INSTANT,                       1.91                      ,1000,10000000
46,581,♛ Youtube - Views S3 [ 100k-300k/day ] [ Life Time Guaranteed ] INSTANT,                       3.26                      ,500,10000000
47,582,NEW - Youtube - Views [ 100k-200k/day ] [ No Refill  Fastest ] INSTANT,                       2.13                      ,100,100000000
48,583,NEW - Youtube - Views [ 500k-1m/day ] [ No Refill ] SUPER INSTANT,                       1.80                      ,1000,10000000
49,584,♛ Youtube - Views [ Premium ] [ 20k-50k/day ] [ HQ ] SUPER INSTANT,                       4.50                      ,1000,1000000
50,585,Youtube Views [ EMBEDDED ADS VIEWS ] 5000-50k/day ] SUPER INSTANT,                       4.83                      ,1000,10000000
51,586,Youtube Views [ Very Slow ] [ Max - 20k ] [ 150-450/day ] [ Life Time Guaranteed ] 0-24hrs,                       3.15                      ,300,50000
52,587,Youtube - Views [ 5k-20k/day ] [ Read Description ] [ No Refill ] INSTANT,                       1.46                      ,100,100000
53,588,♛ Youtube - Views [ REAL ] [ SLOW ] [ 500-3000/day ] [ RAV + Engagements ] INSTANT,                       6.75                      ,100,100000
54,207,Youtube Views [1M] [USA] [NO DROP] [INSTANT - 50K-100K/Day],                       2.90                      ,1000,1000000
55,208,Youtube Views [1M] [INDIA] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
56,209,Youtube Views [1M] [UK] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
57,210,Youtube Views [1M] [AUSTRALIA] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
58,211,Youtube Views [1M] CANADA] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,10000000
59,212,Youtube Views [1M] [BRAZIL] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
60,213,Youtube Views [1M] [EGYPT] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
61,214,Youtube Views [1M] [FRANCE] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
62,215,Youtube Views [1M] [GERMANY] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
63,216,Youtube Views [1M] [ITALY] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
64,217,Youtube Views [1M] [NETHERLANDS] [R∞] ⚡?⛔♻⭐,                       2.90                      ,1000,1000000
65,218,Youtube Views [1M] [PORTUGAL] [R∞] ⚡?⛔♻⭐,                       2.90                      ,1000,1000000
66,219,Youtube Views [1M] [RUSSIA] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
67,220,Youtube - Saudi Arabia Views [ 20k-50k/day ] [ NO REFILL ] INSTANT,                       2.90                      ,1000,1000000
68,221,Youtube Views [1M] [JAPAN] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
69,222,Youtube Views [1M] [TURKEY] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
70,223,Youtube Views [1M] [UKRAINE] [R∞] ⚡?⛔♻⭐,                       2.90                      ,1000,1000000
71,224,Youtube Views [1M] [TAIWAN] [R∞] ⚡?⛔♻⭐,                       2.90                      ,1000,1000000
72,225,Youtube Views [1M] [SOUTH KOREA] [R∞] ⚡?⛔♻⭐,                       2.90                      ,1000,10000000
73,226,Youtube Views [1M] [SPAIN] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,10000000
74,227,Youtube Views [1M] [SWEDEN] [R∞] ⚡?⛔♻⭐,                       2.90                      ,1000,1000000
75,228,Youtube Views [1M] [POLAND] [NO DROP] [INSTANT - 200K/Day] ??,                       3.10                      ,100,1000000
76,229,Youtube Views [1M] [MEXICO] [R∞] ⚡?⛔♻⭐,                       2.90                      ,1000,1000000
77,230,Youtube Views [1M] [GREECE] [R∞] ⚡?⛔♻⭐ ,                       2.90                      ,1000,1000000
78,231,Youtube Views [50K] [RUSSIA] [R∞] ⚡️?♻⭐,                       6                      ,500,500000
79,86,♛ Youtube - ADS Views [ Non Drop  Worldwide ] [ 100k-500k/day ] Start 0-48HRS,                       4.40                      ,50000,100000000
80,87,Youtube - ADS Views [ No Restrication For Time Limit Of Video ] [ Speed - 100K-500K/day ] Start 6-48hrs,                       6                      ,10000,100000000
81,88,♛ Youtube - TURKEY ADS Views [ Non Drop ] [ 100k-500k/day ] Start 12-48HRS,                       6                      ,25000,100000000
82,89,Youtube - INDIAN ADS Views [ Non Drop ] ] [ Speed - 100k-300k/day ] Start 12-48HRS,                       6                      ,25000,100000000
