,ID,Name,Description,Price Per 1000,Min,Max
0,1602,Netflix 1 MONTH (4screens) {ULTRA HD PLAN},Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹200.00                                         ,1000,1000
1,1603,Amazon Prime video,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
2,1604,ALT Balaji,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
3,1605,VIU,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
4,1606,ZEE 5,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
5,1607,HBO,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
6,1609,EROS NOW,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
7,1610,Hotstar Premium,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
8,1611,PORNHUB (CRACKED),Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹39.00                                         ,1000,1000
9,1968,Netflix 1 screen ,type 1000 in quantity  put your whatsapp number in link    u will get 1 screen of your name  u will not allowed to change anything in account (email or password)  if user changes anything  his replacement policy will be void  after ordering create a support ticket with your order id,                                                                                         ₹100.00                                         ,1000,1000
10,1969,Netflix 2 screen ,type 1000 in quantity  put your whatsapp number in link    u will get 2 screensof your names  u will not allowed to change anything in account (email or password)  if user changes anything  his replacement policy will be void  after ordering create a support ticket with your order id,                                                                                         ₹150.00                                         ,1000,1000
11,1612,Netflix 1 year UHD (4 SCREENS)  ,replacements at month end  user should not change password or email  Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹1200.00                                         ,1000,1000
12,1613,Amazon Prime video ( every month account will be replaced),Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹200.00                                         ,1000,1000
13,1614,ALT Balaji,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
14,1615,VIU,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
15,1616,ZEE 5,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8279599630 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
16,1617,HBO,Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹100.00                                         ,1000,1000
17,1618,HULU (cracked),Type 1000 in quantity  100% Replacement Guarantee  Classicsmm exclusive  after ordering whatsapp on 8376080876 along with your order id.  ,                                                                                         ₹220.00                                         ,1000,1000
18,1689,Hotstar Premium,after ordering message on whatsapp with ur order id   8279599630,                                                                                         ₹100.00                                         ,1000,1000
19,1975,Instagram followers No refill  [ Cheapest],no prediction of dropping as this is cheapest follower service in morning..,                                                                                         ₹26.00                                         ,20,10000
20,1976,Instagram Ads Followers [ 100% Real ],0-12 hours | 300-1k/day | Life Time Guaranteed | World-Wide  English Speaking Followers | Please note that the followers are 100% real  come from Ads and promoting as we do LEGAL and HONEST giveaway competitions  hence; some people may follow and unfollow after the draw  1% to 3% might unfollow; however  we over-deliver from 5% to 10% on each order  This is 100% real so we do not offer any refill for this - Thanks,                                                                                         ₹1000.00                                         ,1000,200000
21,1977,Youtube Likes Min 20 Max 15k - Instant Start - 30 Days refill ,Youtube Likes ( Best Price in Market ) Min 20 And Max 15k Speed 200-400 Per Day Refill: 30 Days Start Time 0-2 hours,                                                                                         ₹320.00                                         ,20,15000
22,1927,Buy Pubg UC - 8 UC,In quantity Option enter 1000 quantity.    Enter Only Character Id In Link Option.  Order will Be complete In 24  Hours.        Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 8 UC. ,                                                                                         ₹20.00                                         ,1000,1000
23,1928,♛ Buy Pubg UC - 35UC,Enter Only Character Id In Link Option.  Order will Be complete In 6-12 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 35 UC. ,                                                                                         ₹70.00                                         ,1000,1000
24,1929,♛ Buy Pubg UC - 75UC,Enter Only Character Id In Link Option.  Order will Be complete In 12-24 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 75 UC.,                                                                                         ₹130.00                                         ,1000,1000
25,1930,♛ Buy Pubg UC - 220UC,Enter Only Character Id In Link Option.  Order will Be complete In 12-24 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 220 UC.,                                                                                         ₹350.00                                         ,1000,1000
26,1931,♛ Buy Pubg UC - 770UC,Enter Only Character Id In Link Option.  Order will Be complete In 12-24 Hour.    In quantity Option enter 1000 quantity.    Go to profile in pubg mobile and copy your pubg character Id .  Ex: 5630036882    You will Receive Total 770 UC.,                                                                                         ₹1300.00                                         ,1000,1000
27,1920,Instagram Indian Followers - No Refill - Non Drop,Indian names and Indian Profiles | Non Drop but If drops No refill (0.00001 % chances),                                                                                         ₹395.00                                         ,10,1000
28,1875,Instagram Followers - Min 10 | Max 10K |  ( Avatar )⚡,Daily Speed 10k a Day Start 0-1 Hour Followers can drop in any Ratio,                                                                                         ₹45.50                                         ,10,10000
29,1951,Instagram Followers [LQ] [No Refill]  [ 2-3k/Day] with cancel button,Minimum: 100 Followers Maximum: 15000 Followers Guarantee: No Guarantee Start: Instant to 1 Hrs Make sure  your ig profile has a picture. Note: Any time it can be drop  even after 1 hrs or few hrs or 1 days. so order at your own risk. We will not accept any complaint,                                                                                         ₹39.13                                         ,10,15000
30,1952,Instagram Followers - 5K - Instant Start - [ 5k/day] [ Real Followers] [ No Refill] [ Less Drop],real profiles Instant -1 hours start   5k- day,                                                                                         ₹200.20                                         ,100,5000
