,ID,Name,Description,Price Per 1000,Min,Max
0,3242,asdfghjk,sdfgh,                                                                                         $2.20                                         ,1000,500000000
1,3263,Instagram - Comment ~ Custom ~ INSTANT,Instagram - Comment ~ Custom ~ INSTANT,                                                                                         $17.00                                         ,5,10000000
2,3307,Instagram Likes [100K] [LQ] 💧,Instagram Likes [100K] [LQ] 💧,                                                                                         $2.61                                         ,20,100000
3,3308,Instagram Likes [10K] [QUALITY HIGH/MEDIUM] 💧🔥,Instagram Likes [10K] [QUALITY HIGH/MEDIUM] 💧🔥,                                                                                         $4.22                                         ,50,10000
4,3309,Instagram Likes [20K] [Good Quality] 💧🔥,Instagram Likes [20K] [Good Quality] 💧🔥,                                                                                         $5.31                                         ,50,20000
5,3310,Instagram Likes [20K] [LQ] 💧⛔,Instagram Likes [20K] [LQ] 💧⛔,                                                                                         $4.62                                         ,20,20000
6,3311,Instagram Likes [75K] [MQ] 💧,Instagram Likes [75K] [MQ] 💧,                                                                                         $6.03                                         ,20,75000
7,3312,Instagram Likes [100K] [MQ]💧⛔,Instagram Likes [100K] [MQ]💧⛔,                                                                                         $6.03                                         ,20,100000
8,3313,Instagram Likes [10K] [HQ] 💧,Instagram Likes [10K] [HQ] 💧,                                                                                         $5.67                                         ,30,20000
9,3314,Instagram Likes [50K] [MQ],Instagram Likes [50K] [MQ],                                                                                         $6.33                                         ,100,50000
10,3315,Instagram Likes [10K] [SUPER REAL]💧,Instagram Likes [10K] [SUPER REAL]💧,                                                                                         $6.43                                         ,20,10000
11,3316,Instagram Likes [20K] [Real] 💧🔥,Instagram Likes [20K] [Real] 💧🔥,                                                                                         $6.99                                         ,50,20000
12,3317,Instagram Likes [50K] [LQ] 💧⛔,Instagram Likes [50K] [LQ] 💧⛔,                                                                                         $7.04                                         ,20,50000
13,3318,Instagram Likes + Impressions [20K] [MQ] 💧🔥,Instagram Likes + Impressions [20K] [MQ] 💧🔥,                                                                                         $10.13                                         ,50,20000
14,3319,Instagram POWER Likes [5K] [INSTANT - INSTANT] 💧,Instagram POWER Likes [5K] [INSTANT - INSTANT] 💧,                                                                                         $7.24                                         ,50,10000
15,2959,Instagram Verification BlueTick,We need the Instgram account Link + around 8 - 9 articles from google  talking about the business or the account owner.,                                                                                         $5499.00                                         ,1000,1000
16,2225,Instagram - Views + Impression + Profile Visit ~ Super Fast, Services: IG Views + Impressions + Profile Visits  Start: Instant  Speed: Up to 100K - 500k Per Hour Speed  Impressions: Randomly Selected  Profile Visits: Randomly Selected of Ordered Amount!  Min: 1000  Max: 5M,                                                                                         $0.29                                         ,1000,100000000
17,2226,Instagram - Views + Impression + Profile Visit + Discover, ×  Impressions of the views will spread to Insights as follows to make it look natural:  -100% of the order amount as Impressions  -20% of the order amount send as Profile Visits  -60% of the order amount as Discover  -25% of the order amount as Profile  -10% of order amount as Home  -10% of order amount as Other    This combination of Impressions will help your post to appear on Discover and gain lots of real followers. Don't forget  the higher the amount of impressions you send  the higher chance you have to appear on Discover. We suggest ordering at least 50K to get a good result.,                                                                                         $0.48                                         ,1000,10000000
18,2233,Instagram - Impression,Instagram - Impression,                                                                                         $0.09                                         ,1000,10000
19,2234,Instagram - Save ~ Max 50k,Instagram - Save ~ Max 50k,                                                                                         $0.03                                         ,1000,50000
20,2235,Instagram - Story Poll Votes,Instagram - Story Poll Votes,                                                                                         $7.02                                         ,200,30000
21,2239,Instagram - TV Comments ~ Emoji,Instagram - TV Comments ~ Emoji,                                                                                         $1.76                                         ,500,10000000
22,2240,Instagram - TV Comments ~ Random,Instagram - TV Comments ~ Random,                                                                                         $1.76                                         ,400,1000000
23,2241,Instagram - TV Comments ~ Custom,Instagram - TV Comments ~ Custom,                                                                                         $26.33                                         ,300,10000000
24,2243,Instagram - Live Video Likes,Instagram - Live Video Likes,                                                                                         $0.30                                         ,400,10000
25,2246,Instagram - Views + Impression ~ Max 1000k,~ High Quality ~ Refill ~ Max 1000k ~ Instant to 6 hrs start,                                                                                         $0.03                                         ,1000,100000000
26,2247,Instagram - Views + Impression ~ Fast ~ Max 1000k,~ High Quality ~ Refill ~ Max 1000k ~ Instant to 6 hrs start,                                                                                         $0.04                                         ,1000,10000000
27,2266,Instagram Views + Impressions + Profile Visits [5M] ,Start Time: Instant  Speed: Up to 300K Per Hour Speed  Refill: No refill  Specs: IG Views + Impressions + Profile Visits  -Impressions = Randomly Selected,                                                                                         $0.25                                         ,1000,5000000
28,2270,Instagram Story Views [80K] [ALL POSTS] ,Instant Start  30k / Day Speed !  Min 1000,                                                                                         $0.03                                         ,1000,80000
29,2271,Instagram Saves [50K] ,Instagram Saves [50K] ,                                                                                         $0.04                                         ,1000,50000
30,2527,Instagram - Impressions,Instagram - Impressions,                                                                                         $0.09                                         ,500,100000
31,2272,Instagram Views + Impressions [TRENDING HITS] [1M] ,INSTANT   500K+ Speed !   FAST !,                                                                                         $0.15                                         ,1000,1000000
32,2274,Instagram Story Views [5K] [ALL POSTS] ,Instant Start Up to 5K / Day Speed !,                                                                                         $0.05                                         ,1000,5000
33,2275,Instagram Impressions + PV [HQ] [ALWAYS WORKING],- Real IG Impressions + Profile Visits  - Instant Start  - Fast Speed  - 100% Of Quantity adds as Impressions (Randomly)  - 20% Of Quantity adds as Profile Visits  - Min = 250  - Max = 10K,                                                                                         $1.29                                         ,250,10000
34,2276,[OFFER] Auto Instagram 30 Days Service [Check Description] [EXCLUSIVE] ,INSTAGRAM AUTO OFFER !     You will receive all these:     *Auto 10 000 Views on ALL your STORY for 30 Days   *Auto 30 000 Video Views + Impression on ALL your VIDEO POSTS for 30 Days   *Auto 5 000 Photo Impression on ALL your PHOTO POSTS for 30 Days   *Auto 500 Vote Poll on all your STORY POLL VOTES (vote1) for 30 Days   *Auto 500 Instagram Saves on ALL your POSTS for 30 Days   *Instagram Comments Like (20 Likes on each of the Last 40 comments) on ALL your POSTS for 30 Days     Quantity must = 1000,                                                                                         $162.00                                         ,1000,1000
35,2277,[OFFER 2] Auto Instagram 30 Days Service [Check Description] [EXCLUSIVE] , INSTAGRAM AUTO OFFER !   You will receive all these:   *Auto 4 000 Views on ALL your STORY for 30 Days  *Auto 10 000 Video Views + Impression on ALL your VIDEO POSTS for 30 Days  *Auto 2 000 Photo Impression on ALL your PHOTO POSTS for 30 Days  *Auto 200 Vote Poll on all your STORY POLL VOTES (vote1) for 30 Days  *Auto 200 Instagram Saves on ALL your POSTS for 30 Days  *Instagram Comments Like (20 Likes on each of the Last 40 comments) on ALL your POSTS for 30 Days   Quantity must = 1000,                                                                                         $81.00                                         ,1000,1000
36,2278,[OFFER 3] Auto Instagram 30 Days Service [Check Description] [EXCLUSIVE] , INSTAGRAM AUTO OFFER !   You will receive all these:   *Auto 1 000 Views on ALL your STORY for 30 Days  *Auto 1 000 Video Views + Impression on ALL your VIDEO POSTS for 30 Days  *Auto 1 000 Photo Impression on ALL your PHOTO POSTS for 30 Days  *Auto 100 Vote Poll on all your STORY POLL VOTES (vote1) for 30 Days  *Auto 100 Instagram Saves on ALL your POSTS for 30 Days  *Instagram Comments Like (20 Likes on each of the Last 40 comments) on ALL your POSTS for 30 Days   Quantity must = 1000,                                                                                         $47.25                                         ,1000,1000
37,3082,Twitter Followers [20K] [MIX] [AUTO R7] [1H - 5K/Day] 💧 ,Start Time: Instant - 1 hours  Speed: 1K-5K/ day   Refill: 7 days AUTO Refill  Specs: Username Only - Mixed Quality,                                                                                         $5.11                                         ,20,20000
38,2251,Instagram - Impression ~ Max 250k ~ No Drop ~ Always Working,Instagram - Impression ~ Max 250k ~ No Drop ~ Always Working,                                                                                         $4.90                                         ,250,5000
39,2254,Instagram - Live Video Views ~ Max 3k ~ No Drop ~ Always Working,Instagram - Live Video Views ~ Max 3k ~ No Drop ~ Always Working,                                                                                         $8.10                                         ,200,3000
40,2489,Instagram - Male Followers ~ 10k ~ R 20D ~ Instant,Instagram - Male Followers ~ 10k ~ R 20D ~ Instant,                                                                                         $8.40                                         ,100,10000
41,2490,Instagram - Female Followers ~ 10k ~ R 30D ~ Instant,Instagram - Female Followers ~ 10k ~ R 30D ~ Instant,                                                                                         $8.40                                         ,100,10000
42,2491,Instagram - Male Likes ~ 5k ~ Instant,Instagram - Male Likes ~ 5k ~ Instant,                                                                                         $0.15                                         ,500,5000
43,2492,Instagram - Female Likes ~ 10k ~ Instant,Instagram - Female Likes ~ 10k ~ Instant,                                                                                         $0.15                                         ,500,10000
44,2493,Instagram - Female Followers ~ 3k ~ R 30D ~ Instant,- Good Quality Female Instagram followers - Min 500 & Max 3000 - Speed 1k-3k per days - Start time 5 min to 1 hrs ( Some time delay if server overload or we update system) - 30 Days Manual Refill ( Refill time 1 hrs to 72 hrs ),                                                                                         $6.30                                         ,100,3000
45,2494,Instagram - Followers ~ Female ~ Max 10k ~ NR,Instagram - Followers ~ Female ~ Max 10k ~ NR,                                                                                         $0.77                                         ,500,10000
46,2495,Instagram Likes - [ 10k ] INSTANT,Instagram Likes - [ 10k ] INSTANT,                                                                                         $0.08                                         ,1000,10000
47,2286,Instagram Likes [10K] ,- IG Likes   - Usually Instant   - Up to 4 Hours Start   - Real !  - Min = 500  - Max = 10K !,                                                                                         $0.12                                         ,500,10000
48,3275,Instagram Likes [8K] [LQ] 💧,Instagram Likes [8K] [LQ] 💧,                                                                                         $2.70                                         ,100,20000
49,3276,Instagram Likes [10K] [REAL] 💧⛔,Start Time & Speed: INSTANT!  Quality: REAL  real accounts with profile pictures and posts.  Extra Likes: 0% to 1%.  Refill: Real accounts  can unlike  99.99% will not drop.  These likes come through an APP  people like the posts  most of the accounts are REAL GOOD LOOKING but there are about 5% of users who are using new accounts to likes so about 5% of the likes look like bot.,                                                                                         $2.89                                         ,100,50000
50,3279,Instagram Likes [20K] [HQ] 💧,Instagram Likes [20K] [HQ] 💧,                                                                                         $3.90                                         ,100,5000
51,3281,Instagram Likes [30K] [MQ] 💧,Instagram Likes [30K] [MQ] 💧,                                                                                         $4.12                                         ,100,30000
52,3285,Instagram Likes [6K] [MIX] 💧⛔,Instagram Likes [6K] [MIX] 💧⛔,                                                                                         $4.19                                         ,50,6000
53,3287,Instagram Likes [3K] [MQ] 💧⛔,Instagram Likes [3K] [MQ] 💧⛔,                                                                                         $4.62                                         ,20,3000
54,3288,Instagram Likes [70K] [MQ] 💧,Instagram Likes [70K] [MQ] 💧,                                                                                         $4.97                                         ,20,70000
55,3289,Instagram Likes [5K] [MQ] 💧🔥🔥🔥,Instagram Likes [5K] [MQ] 💧🔥🔥🔥,                                                                                         $3.15                                         ,100,20000
56,3290,Instagram Likes [5K] [MQ] 💧,Instagram Likes [5K] [MQ] 💧,                                                                                         $5.54                                         ,20,5000
57,3291,Instagram Likes + Impressions + PV [20K] [HQ] 💧🔥,Instagram Likes + Impressions + PV [20K] [HQ] 💧🔥,                                                                                         $5.96                                         ,50,20000
58,3292,Instagram Likes [100K] [HQ] 💧🔥🔥🔥,Instagram Likes [100K] [HQ] 💧🔥🔥🔥,                                                                                         $4.62                                         ,100,100000
59,2477,Instagram Likes - Turkey ~ Max 5k ~ INSTANT,- Likes From turkey profile  - Min 500 & Max 15000  - Speed 5k-20k per days  - Start time 10min to 1hrs ( Some time delay if server overload or we update system) ,                                                                                         $0.08                                         ,500,5000
60,2478,Instagram Likes - Vietnam ~ Max 10k ~ INSTANT,Instagram Likes - Vietnam ~ Max 10k ~ INSTANT,                                                                                         $0.25                                         ,20,10000
61,2479,Instagram Likes - China ~ Max 10k ~ INSTANT,Instagram Likes - China ~ Max 10k ~ INSTANT,                                                                                         $0.18                                         ,500,10000
62,2480,Instagram Likes - China ~ Max 10k ~ INSTANT,Instagram Likes - China ~ Max 10k ~ INSTANT,                                                                                         $0.14                                         ,500,10000
63,2481,Instagram Likes - Russia ~ Max 10k ~ INSTANT 🇷🇺,- Likes From Russian profile  - Min 500 & Max 10900  - Speed 5k-20k per days  - Start time 10min to 1hrs ( Some time delay if server overload or we update system) ,                                                                                         $0.08                                         ,500,500000
64,2482,Instagram Likes - Russia ~ HQ ~ Max 7.5k ~ INSTANT 🇷🇺,- Likes From Russian profile  - Min 500 & Max 7500  - Speed 5k-20k per days  - Start time 10min to 1hrs ( Some time delay if server overload or we update system),                                                                                         $0.17                                         ,500,75000
65,2483,Instagram Likes - ARAB ~ MAX 12k ~ INSTANT,Instagram Likes - ARAB ~ MAX 12k ~ INSTANT,                                                                                         $0.49                                         ,500,12000
66,2484,Instagram Likes - IRAN ~ Persian ~ INSTANT 🇮🇷,Instagram Likes - IRAN ~ Persian ~ INSTANT 🇮🇷,                                                                                         $0.34                                         ,500,30000
67,2485,Instagram Likes - Brazil ~ Max 15k ~ INSTANT 🇧🇷, - Likes From Brazilian profile  - Min500& Max 100000  - Speed 5k-20k per days  - Start time 10min to 1hrs ( Some time delay if server overload or we update system) ,                                                                                         $0.06                                         ,500,10000
68,2486,Instagram - Likes ~ Brazil ~ Max 10k,Instagram - Likes ~ Brazil ~ Max 10k,                                                                                         $0.13                                         ,500,10000
69,2487,Instagram Likes - Thailand ~ Max 5k ~ INSTANT,Instagram Likes - Thailand ~ Max 5k ~ INSTANT,                                                                                         $0.25                                         ,500,10000
70,2488,Instagram Likes - Indonesia ~ Max 5.5k, - Likes From Indonesian profile - Min 500 & Max 5500 - Speed 5k-20k per days - Start time 10min to 1hrs ( Some time delay if server overload or we update system),                                                                                         $0.76                                         ,500,5500
71,2336,Instagram Likes ~ Power Likes ~ Max 1k,- Likes From REAL HIGh quality Profile - Min 100 & Max 1000 - Speed 1k per days - Start time 10min to 1hrs  Note : Only likes from great profiles which have 10k+ of followers and posts,                                                                                         $2.45                                         ,100,1000
72,2337,Instagram Likes ~ Power Likes ~ Max 10k,- Likes High Quality profile - Min 100 & Max 10000 - Speed 5k per days - Start time 10min to 1hrs  Note : Only likes from great profiles which have a lot of followers and posts,                                                                                         $1.95                                         ,100,1000
73,2338,Instagram Likes ~ Top Likes ~ Max 5k,- Likes From Brazil profile - Min 100 & Max 5000 - Speed 5k per days - Start time 10min to 1hrs  Note : Only likes from great profiles which have a lot of followers and posts,                                                                                         $0.31                                         ,100,5000
74,2340,Instagram Likes - BRAZIL ~ Business Likes ~ Max 2k,- Likes From Brazil profile - Min 400 & Max 2000 - Speed 2000 per days - Start time 10min to 1hrs  Note: Likes from corporate profiles. They are from shoe shops  clothes  makeup and other companies in general,                                                                                         $0.13                                         ,400,2000
75,2445,Instagram - Likes ~ 5 Likes Per Minute ~ INSTANT,Quality: High-Quality profile Start time: Instant Min:500 Max: 10K Get 5 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 5 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
76,2446,Instagram - Likes ~ 10 Likes Per Minute ~ INSTANT,Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 10 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 10 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
77,2447,Instagram - Likes ~ 20 Likes Per Minute ~ INSTANT,Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 20 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 20 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
78,2448,Instagram - Likes ~ 50 Likes Per Minute ~ INSTANT,Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 50 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 50 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
79,2449,Instagram - Likes ~ 75 Likes Per Minute ~ INSTANT,Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 75 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 75 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
80,2451,Instagram - Likes ~ 100 Likes Per Minute ~ INSTANT, Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 100 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 100 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,800,10000
81,2452,Instagram - Likes ~ 125 Likes Per Minute ~ INSTANT,Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 125 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 125 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
82,2453,Instagram - Likes ~ 150 Likes Per Minute ~ INSTANT, Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 150 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 150 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
83,2454,Instagram - Likes ~ 175 Likes Per Minute ~ INSTANT, Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 175 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 175 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
84,2455,Instagram - Likes ~ 200 Likes Per Minute ~ INSTANT, Quality: High-Quality profile Start time: Instant Min: 500 Max: 10K Get 200 Likes each minute so the likes will come in a more real way to your post!  Example: If You order 1000 Likes for your photo Every minute you will get 200 likes instead of getting 1000 likes in the same second which can look sometimes fake :),                                                                                         $0.10                                         ,500,10000
85,2456,Instagram - Likes + Impression ❯ 5 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 5 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
86,2457,Instagram - Likes + Impression ❯ 10 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 10 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
87,2458,Instagram - Likes + Impression ❯ 50 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 50 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
88,2459,Instagram - Likes + Impression ❯ 75 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 75 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
89,2460,Instagram - Likes + Impression ❯ 100 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 100 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
90,2461,Instagram - Likes + Impression ❯ 125 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 125 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
91,2462,Instagram - Likes + Impression ❯ 150 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 150 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
92,2464,Instagram - Likes + Impression ❯ 175 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 175 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
93,2465,Instagram - Likes + Impression ❯ 200 Likes + Impression Per Minute ~ INSTANT,Instagram - Likes + Impression ❯ 200 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.17                                         ,500,10000
94,2466,Instagram - 𝗨𝓢𝑨 ~ Likes + Impression ❯ 5 Likes + Impression Per Minute ~ INSTANT,Instagram - 𝗨𝓢𝑨 ~ Likes + Impression ❯ 5 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.18                                         ,500,10000
95,2467,Instagram - 𝗨𝓢𝑨 ~ Likes + Impression ❯ 10 Likes + Impression Per Minute ~ INSTANT,Instagram - 𝗨𝓢𝑨 ~ Likes + Impression ❯ 10 Likes + Impression Per Minute ~ INSTANT,                                                                                         $0.18                                         ,500,10000
