,ID,Name,Rate per 1000(₹),Min / Max order,Description
0,2142,  🔥🔥Instagram Real Likes SuperFAST -Non Drop  ,  ₹130  ,50 / 10000, Details 
1,1820,  ✅Instagram Followers[NO Refill] [3k/day]  ,  ₹185  ,50 / 13000, Details 
2,1782,  Real Instagram Followers EUROPE + INDIA + ARABS -  ,  ₹2737.5  ,1 / 1, Details 
3,1783,  Instagram Followers [5K] - ADS METHOD  ,  ₹5475  ,1 / 1, Details 
4,1785,  Instagram Followers [7K] Genuine through Ads  ,  ₹8212.5  ,1 / 1, Details 
5,1765,  Instagram Followers {Iran} NR  ,  ₹403  ,100 / 2000, Details 
6,1766,  Instagram Followers (China) (10/2k)  ,  ₹554.1  ,10 / 2000, Details 
7,1771,  Instagram Followers {BRAZIL} 5k {0-6 hours start}  ,  ₹579.6  ,5 / 5000, Details 
8,1768,  ♀Instagram Followers Brazil {Male} R20  ,  ₹903.7  ,10 / 500, Details 
9,1772,  🙋‍♀Instagram Followers Brazil {Female} R20  ,  ₹903.7  ,10 / 5000, Details 
10,1639,  🌟⚡️IG Refill followers - ( Auto Refill  Cancel enabled )  ,  ₹385  ,50 / 50000, Details 
11,1664,  🌟IG Followers 3k - [ Auto Refill ]  ,  ₹405  ,100 / 5000, Details 
12,1507,  ⚡️IG Followers {2k}⚡️  ,  ₹120  ,100 / 2000, Details 
13,1692,  ⚡⚡Instagram followers [5k]  ,  ₹155  ,100 / 5000, Details 
14,1644,  Instagram Fast Followers⚡⚡⚡ [10k]  ,  ₹230  ,100 / 10000, Details 
15,2138,  🔥⚡⚡ Instagram Likes Real Accs (AR5 1x)  ,  ₹45  ,10 / 20000, Details 
16,2136,  🆕Instagram Like R30  ,  ₹60  ,10 / 100000, Details 
17,2137,  🔥🔥 Instagram Like AR5  ,  ₹65  ,10 / 100000, Details 
18,2135,  ♻️Instagram Like R30  ,  ₹80  ,10 / 100000, Details 
19,2140,  ❤️ Instagram Likes FASTEST Plan 🔥⚡⚡  ,  ₹82.8  ,50 / 50000, Details 
20,2134,  🆕 Instagram Like R30  ,  ₹115  ,10 / 100000, Details 
21,2139,  🔥🔥Instagram Real Likes SuperFAST -Non Drop  ,  ₹130  ,50 / 10000, Details 
22,1760,  🔥Cheapest Instagram Likes[5k] [Slow] [Drop Issue]  ,  ₹1050  ,20 / 10000, Details 
23,1727,  {New} Instagram LQ likes  ,  ₹1680  ,10 / 20000, Details 
24,1753,  Instagram Indian Likes 🇮🇳  ,  ₹3500  ,10 / 10000, Details 
25,1777,  Instagram Likes (China) (10/10k)  ,  ₹100.7  ,10 / 10000, Details 
26,1774,  Instagram Likes [Russia| [50K] 💎💎💎  ,  ₹273.8  ,20 / 50000, Details 
27,1775,  Instagram Likes (Iran)  ,  ₹305.9  ,100 / 2000, Details 
28,1773,  Instagram Likes [Brazil] (100/1k)  ,  ₹405.9  ,100 / 1000, Details 
29,1752,  🇮🇳 Instagram Indian Likes  ,  ₹3500  ,10 / 10000, Details 
30,1062,  ⭐ IG Views + Impressions ⚡️  ,  ₹7  ,100 / 1000000, Details 
31,1704,  ⚡️⭐Instagram Mentions [USER FOLLOWERS] ⚡️⭐  ,  ₹70  ,16000 / 2000000, Details 
32,1705,  ⭐⭐Instagram Mentions [100K] [CUSTOM LIST] ⭐⭐  ,  ₹75  ,16000 / 200000, Details 
33,1608,  Instagram Live Video Likes [10K]  ,  ₹18  ,200 / 10000, Details 
34,1066,  💌IG Live Video Like Heart (Instant)  ,  ₹40  ,200 / 10000, Details 
35,1067,  🔆IG Live Highlight Views  ,  ₹115  ,200 / 20000, Details 
36,1068,  ⚡️IG Live Views (Username)  ,  ₹299  ,200 / 1000, Details 
37,1272,  🆕[Working] Instagram Views  ,  ₹3  ,200 / 100000, Details 
38,1141,  [Exclusive] Instagram SEO Views (Genuine Growing)  ,  ₹5  ,200 / 100000, Details 
39,263,  ⭐⚡️Instagram Views Real  ,  ₹7  ,200 / 100000, Details 
40,1661,  ✅Instagram Views [ALWAYS WORKING] ⚡️Instant  ,  ₹10  ,200 / 100000, Details 
41,1606,  🇦🇪 Instagram Views [ARAB]  ,  ₹12  ,100 / 50000, Details 
42,1,  ⭐⚡️ Instagram Views [999K] [REAL - INSTANT]  ,  ₹14  ,200 / 100000, Details 
43,1605,  🇺🇸 Instagram Views [USA] [10k]  ,  ₹18  ,100 / 10000, Details 
44,1737,  Instagram Photo Reach [30K] [INSTANT ] 💧  ,  ₹55  ,100 / 30000, Details 
45,1843,  Instagram Profile Visits [ - Add Post Link]  ,  ₹245  ,10 / 10000, Details 
46,1601,  🅢- IG Mentions ( Use msp-panel.in )  ,  ₹84  ,2000 / 10000, Details 
47,215,  Instagram Random Live Video Comments  ,  ₹1900  ,50 / 2000, Details 
48,1700,  ❤️ IG Story Views - Cheap & Instant ❤️  ,  ₹4  ,100 / 100000, Details 
49,1021,  ⬇️ IG Cheapest Saves - ✈︎  ,  ₹6  ,100 / 50000, Details 
50,832,  Instagram Impressions ⚡⭐  ,  ₹8  ,500 / 1000000, Details 
51,1161,  ⚡✅IG Story Views - Always Working-S1⚡  ,  ₹8  ,100 / 2500000, Details 
52,1162,  🆕IG Story Views - Always Working-S2  ,  ₹10  ,300 / 250000, Details 
53,989,  Instagram Story Views [ Male ]  ,  ₹20  ,25 / 50000, Details 
54,995,  Instagram Story Views [ Female ]  ,  ₹20  ,25 / 50000, Details 
55,769,  Instagram Photo Reach  ,  ₹60  ,100 / 10000, Details 
56,770,  Instagram Video Reach  ,  ₹60  ,100 / 10000, Details 
57,859,  Instagram - Highlights Views  ,  ₹120  ,20 / 10000, Details 
58,991,  ⚡️Instagram All story Views- SUPERFAST⚡️  ,  ₹3150  ,20 / 5000, Details 
59,298,  just.crush.feelings [93k]  ,  ₹180  ,1000 / 1000, Details 
