,ID,Name,Rateper1000(₹),Min/Maxorder,Description
0,2167,  🔥🌟IG Cheapest Followers In the Market 🔥  ,  ₹22.1  ,20 / 10000, Details 
1,2164,  💧IG Followers 15k Max - No refill ( Cancel anytime )  ,  ₹35  ,30 / 8000, Details 
2,2166,  🔥IG followers 10k Max - Bot accounts  ,  ₹40  ,20 / 10000, Details 
3,2169,  💪IG SuperFast ⚡️ Followers - Less drops 💪  ,  ₹43.3  ,50 / 10000, Details 
4,2165,  🔥IG Followers Real & Mixed. NR  ,  ₹55  ,30 / 8000, Details 
5,2160,  🔥 Instagram followers [3k/ Day][R30]  ,  ₹175  ,50 / 15000, Details 
6,2163,  🎊⚡️ Instagram followers [R30] - 0-30% Drop  ,  ₹200  ,25 / 50000, Details 
7,2161,  🐼✅Instagram Real Followers [NON-DROP AR30 ]⚡️  ,  ₹225  ,50 / 30000, Details 
8,2157,  ⚡♻️Instagram Followers [Best Service - Refill ] [50k]  ,  ₹235  ,50 / 50000, Details 
9,2158,  ♻️Instagram Followers [Best Service- Autorefill ] [50k]  ,  ₹250  ,50 / 50000, Details 
10,2162,  🔥Instagram Followers R30 ( Real ) 0-15% DROP  ,  ₹305  ,50 / 15000, Details 
11,2155,  Instagram 🇷🇺Russian Followers - Russian- No refill  ,  ₹177.1  ,100 / 10000, Details 
12,2150,  🇮🇩Instagram Followers [INDONESIA] [12H - 500/Day]  ,  ₹388.1  ,100 / 1000, Details 
13,2152,  🇧🇷 Instagram Followers [BRAZIL][No Refill]  ,  ₹519.8  ,10 / 1000, Details 
14,2156,  Instagram 🇧🇷 Brazil Followers ⚡🌟⚡Very Less drop - No refill  ,  ₹716.5  ,25 / 15000, Details 
15,2151,  ♻🇧🇷Instagram Followers [BRAZIL] [R30] [SLOW] ♻  ,  ₹831.7  ,100 / 10000, Details 
16,2153,  🇧🇷 Instagram Followers [BRAZIL - MALE] [1K] [1H - INSTANT]  ,  ₹912.5  ,25 / 5000, Details 
17,2154,  🇧🇷 Instagram Followers [BRAZIL][ FEMALE] 🙆‍♀️  ,  ₹912.5  ,25 / 4000, Details 
18,2298,  🔥🔥 Instagram Likes [5k]  ,  ₹14  ,10 / 5000, Details 
19,2180,  ♦️IG CHEAPEST Likes in the Market 🎊  ,  ₹16  ,20 / 10000, Details 
20,2179,  💧IG Cheap Likes  With PP  ,  ₹21  ,10 / 20000, Details 
21,2176,  🔥IG Likes with PP 🖼  ,  ₹22  ,10 / 100000, Details 
22,2177,  🐢IG Likes Less drop  Fast Delivery 💯  ,  ₹45  ,10 / 50000, Details 
23,2299,  💫 Instagram Likes [50k]  ,  ₹50  ,10 / 50000, Details 
24,2171,  💫IG Likes - Natural Speed - Real Likes  ,  ₹47.9  ,50 / 50000, Details 
25,2172,  🐢IG Likes Slow - Real Accounts.  ,  ₹50.4  ,20 / 5000, Details 
26,2170,  💥IG Instant Likes ( Asian accounts ) Real accounts  ,  ₹58.8  ,50 / 20000, Details 
27,2173,  ♳ IG Likes R30 ( One time refill )  ,  ₹64.7  ,10 / 100000, Details 
28,2140,  ❤️ Instagram Likes FASTEST Non Drop Plan 🔥⚡⚡  ,  ₹80  ,100 / 20000, Details 
29,2175,  ⚡︎⚡︎IG likes Super-instant - Non Drop ( Good Server )  ,  ₹84  ,50 / 50000, Details 
30,2181,  🇮🇳 Instagram Indian Likes [10k]  ,  ₹50.4  ,10 / 10000, Details 
31,2182,  🇹🇷 Instagram Likes [REAL-TURKISH] INSTANT⚡  ,  ₹67.2  ,50 / 10000, Details 
32,2183,  🇦🇪 Instagram-Likes [ARAB-MIXED] INSTANT⚡  ,  ₹126  ,50 / 5000, Details 
33,2184,  🇺🇸Instagram Likes + Impression [USA] [EXCLUSIVE] 🔥  ,  ₹126  ,20 / 5000, Details 
34,2185,  🇷🇺 Instagram-Likes [RUSSIAN] INSTANT⚡  ,  ₹126  ,50 / 50000, Details 
35,2188,  🦾 Instagram POWER Likes [17K] [Slow]  ,  ₹126  ,10 / 17000, Details 
36,2187,  🦾 Instagram POWER Likes [5K]  ,  ₹151.2  ,50 / 5000, Details 
