,ID,Service,Rate per 1000,Min order,Max order,Description
0,605,Shopee Product Likes Indonesia [BOT] [FEMALE] [2K] ⚡️⚡️⚡️⭐,12 000,100,2000,Bot Female Indonesia High Quality Random Start (Depend Queue) Fast Process
1,552,Shopee Followers Indonesia [BOT] [FEMALE] [2K] ⚡️⚡️⚡️⭐,30 000,100,2000,Bot Female Indonesia High Quality Fast Start Fast Process
2,1097,Tiktok Views [10M] [1H - 50K/Day],719,100,10000000,
3,1093,Tiktok Likes [10K] [INSTANT - FAST] [BOTS],114 909,20,10000,
4,1282,Tiktok Likes [30K] [R30] [1H - 5K/Day],143 546,10,30000,- Quality = Good Avatars !- Start Time = Instant (Can take up to 2 hours sometimes)- Speed = 5K Per Day- Refill = 30 Days
5,1095,Tiktok Likes [10K] [4H - 150/Day] [REAL],153 212,50,10000,
6,1098,Tiktok Likes [10K] [R30] [1H - 200/Day] [REAL],175 126,50,25000,
7,1284,TikTok Followers [5K] [R60] [1H - 500/Day],112 368,500,5000,- CHEAPEST IN THE MARKET- NON DROP- 90 DAYS REFILL GUARANTEE- START TIME 1-2 MINUTES- SPEED 30.000/DAY- MINIMUM 10- MAXIMUM 30 000
8,1283,TikTok Followers [30K] [R30] [1H - 5K/Day],127 350,10,30000,- Quality = Good Avatars !- Start Time = Instant (Can take up to 2 hours sometimes)- Speed = 5K Per Day- Refill = 30 Days
9,1094,TikTok Followers [5K] [Lifetime Guarantee] [24H - 1K/Day],127 745,500,5000,Start Time = Instant - 6HSpeed = 10K - 50K/dayRefill = 120 DaysSpecs = Send FULL LINK!
10,1099,Tiktok Followers [10K] [R30] [1H - 200/Day] [REAL],174 967,50,25000,
11,1096,Tiktok Followers [10K] [4H - 150/Day] [REAL],229 464,50,10000,
12,1100,Tiktok Comments [1K] [R30] [6H - 1K/Day],1 195 125,10,1000,
13,1101,TikTok AUTO Views [MONTHLY PACKAGE],239 025,500,10000000,
14,170,Instagram Followers Aktif Indonesia ⚡️[Check Description],85 000,100,500,Username OnlyReal IndonesiaMulai proses tergantung antrian mulai 1 - 48 jamUsername yang sama tunggu orderan sebelumnya selesaiMinimum 100No Refill
15,1336,Instagram Followers Indonesia [BOT] [HQ - BETA] [100] ⚡️⚡️,75 000,1000,1000,Bot IndonesiaHigh Quality (With Avatar + Indonesian Name)Fast StartFast Process7 Days 1x Refill Guaranteed
16,1290,Instagram Likes Aktif INDONESIA [MPL EXCLUSIVE] ⚡️⚡️⚡️,35 000,100,300,Real IndonesiaInstant Start! Instant DeliveryMinimum 100No Refill / No Refund
17,185,Instagram Likes Aktif INDONESIA S1 ⚡️⚡️⚡️,50 000,50,1000,Real Indonesia0-48 Hour Start! Instant DeliveryMinimum 50No Refill / No Refund
18,1272,Instagram Custom Comments Indonesia [1K] 🔥,1 000 000,5,100,"Put Each Comment On A Line Comments Including Mentions (""@"") Are Not Accepted No Refill / No Refund 0-24 Hour Start! Fast Delivery Minimum 5 High Quality Accounts !"
19,1367,Instagram Likes [5K - LIMITED OFFER] ⛔🔥💧,2 722,10,15000,MPL LIMITED OFFER!Min = 10Max = 15KSpeed = 1K per Hour
20,919,Instagram Likes [100K] [1H - FAST] [R30] ♻,24 365,50,100000,Start Time: Instant to 4 HoursSpeed: 5K/ day Refill: 30 daysSpecs: MAY OVERLOAD
21,1363,Instagram Likes [5K - FAST - EXCLUSIVE],3 825,10,5000,CHEAP ServiceMPL ExclusiveMin = 200Max = 5k
22,1364,Instagram Likes [100K] [2K/Hour],4 303,10,500000,
23,1360,Instagram Likes [5K] [Bots with PP] [FAST],5 263,10,5000,
24,1359,Instagram Likes [100K] [MPL TESTING] [INSTANT - 4K/Hour],5 451,20,500000,TESTING SERVER - FEEL FREE TO ORDERORDERS CAN GET STUCK YOU HAVE TO WAIT FOR THEM PLEASE DONT ASK FOR CANCELATION FOR THIS SERVICE
25,1350,Instagram Likes [BETA - FAST - EXCLUSIVE],6 574,10,15000,BETA Service CHEAPESTWORKING GOOD
26,906,Instagram Likes [20K] [LQ - SLOW] [1H - 1K/Day],7 176,20,20000,CHEAPESTStart Time: 0 - 1HSpeed: 500 to 1K/DayQuality: SLOW Speed with LQ Accounts with no profile pictures Extra Likes: 0% - 20%.
27,1351,Instagram Likes [100K] [EXCLUSIVE - 1-3K/Hour] ⛔,7 176,10,100000,
28,907,Instagram Likes [15K] [MPL EXCLUSIVE - 1.5K/Hour] [WITH PP] ⚡🔥💧⛔,7 176,10,15000,
29,1265,Instagram Likes [30K] [LQ] 💧,7 176,20,50000,Quality: Low Quality SUPER FAST !Refill: NO REFILL NO REFUND order under your own consent.
30,1291,Instagram Likes [100K] [EXCLUSIVE - 10K/Hour] ⚡💧⛔,8 324,10,100000,
31,918,Instagram Likes [200K] [MQ] [INSTANT - 5K/Day] 💧⛔,15 329,10,500000,Start Time: 0 - 1HSpeed: 3-5K/DayQuality: MQ AccountsExtra Likes: 0% - 5%.
32,916,Instagram Likes [1K] [LQ] [1H - 1K/Day] 💧,9 568,20,1000,
33,1292,Instagram Likes [100K] [INSTANT START - FAST] [ WITH PP] [S1 BETA] 💧⛔,10 046,10,100000,
34,908,Instagram Likes [10K] [MPL EXCLUSIVE S2 - SUPER FAST] [WITH PP] ⚡⚡⚡⚡💧,12 473,20,10000,FASTESTCHEAPESTLIKES WITH PROFILE PICTURESIN THE MARKET
35,1276,Instagram Likes [100K] [INSTANT - 10K Per Hour] [NO PP] 🔥⚡⛔,12 952,10,100000,Accounts have no avatarMin = 10Max = 100k
36,911,Instagram Likes [100K] [INSTANT - FAST UP TO 1H] [NO PP] [EXCLUSIVE - MPL] 🔥🔥 🔥⚡⚡⛔,14 152,10,100000,Accounts have no avatar
37,912,Instagram Likes [10K] [5K/HOUR] 🔥🔥🔥🔥🔥,15 831,15,10000,
38,913,Instagram Likes [10K] [10K in 10 Minutes / May Take 5 Mins to Start] [S1 - NOT ALWAYS ENABLED] 🔥🔥🔥⚡⚡⚡,16 456,15,10000,
39,928,Instagram Likes [10K] [HQ] 💧,16 360,50,10000,Start Time & Speed: INSTANT - 20K/DayQuality: REAL real accounts with profile pictures and posts.Extra Likes: 0% to 1%.Refill: Real accounts can unlike 99.99% will not drop.
40,930,Instagram Likes [10K] [REAL] [INSTANT - INSTANT] 💧 ⚡⚡⚡🔥,16 360,50,10000,Start Time & Speed: INSTANT!Quality: REAL real accounts with profile pictures and posts.Extra Likes: 0% to 1%.Refill: Real accounts can unlike 99.99% will not drop.These likes come through an APP people like the posts most of the accounts are REAL GOOD LOOKING but there are about 5% of users who are using new accounts to likes so about 5% of the likes look like bot.
41,1365,Instagram Likes [INDIA] [BOTS - FAST],17 249,10,10000,
42,910,Instagram Likes [25K] [FASTEST IN THE MARKET] [ACC WITH PP BUT NO POST] 🔥🔥🔥🔥🔥💧,20 091,10,30000,
43,933,Instagram Likes [20K] [MIX] [INSTANT - INSTANT] 💧⚡⚡⚡🔥,20 101,50,20000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Mix AccountsExtra Likes: 0% - 20%.
44,935,Instagram Likes [10K] [MIX] [1H - INSTANT] 💧⚡,20 101,50,20000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Mix AccountsExtra Likes: 0% - 30%.
45,936,Instagram Likes [10K] [REAL] [1H - INSTANT] 💧⚡,20 123,50,20000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Mix AccountsExtra Likes: 0% - 30%.
46,937,Instagram Likes + Impressions [10K] [MIX] [1H - INSTANT] 💧⚡,20 123,50,20000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Mix AccountsExtra Likes: 0% - 30%.
47,929,Instagram Likes [5K] [NATURAL INCREASE/SLOW] [REAL LOOKING] 🔥,21 526,20,5000,
48,915,Instagram Likes [10K] [INSTANT - FASTEST],21 526,10,30000,
49,1264,Instagram Likes [10K] [NEVER DROP] 💧🔥,20 458,50,20000,Start Time & Speed: INSTANT!Quality: REAL real accounts with profile pictures and posts.Extra Likes: 0% to 1%.Refill: Real accounts can unlike 99.99% will not drop.These likes come through an APP people like the posts most of the accounts are REAL GOOD LOOKING but there are about 5-10% of users who are using new accounts to likes so about 5-10% of the likes look like bot.
50,909,Instagram Likes [10K] [MPL EXCLUSIVE S3 - SUPER SUPER FAST] [WITH PP] ⚡⚡⚡⚡💧,22 722,20,100000,
51,925,Instagram Likes + Impressions + Reach [5K] [INSTANT - 1K/Day] 🔥,22 722,20,5000,Bot accounts with profile pictures but no posts
52,934,Instagram Likes [50K] [REAL] [1H - INSTANT] 💧⚡,24 754,50,50000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Mix AccountsExtra Likes: 0% - 30%.
53,926,Instagram Likes [45K] [SUPER HQ] [INSTANT - 5K/Day] 🔥🔥🔥,26 210,100,45000,Start Time: 0 - 1HQuality: HQ Accounts with profile pictures and postsExtra Likes: 0% - 20%.
54,927,Instagram Likes [45K] [SUPER HQ] [INSTANT - 5K/Day]💧🔥,26 210,100,45000,Start Time: 0 - 1HSpeed: 3-5K/DayQuality: HQ AccountsExtra Likes: 0% - 20%.PRICE IS CONSTANTLY CHANGING FOR THIS SERVICE TO KEEP IT FROM OVERLOADING.
55,931,Instagram Likes [2K] [UP TO 1H START - SUPER SLOW],28 701,100,2000,REAL but super slow (100+ / day)
56,920,Instagram Likes [20K] [INSTANT - INSTANT] 💧⚡⚡⚡🔥,33 539,10,30000,Accounts have profile picture but no post.
57,1293,Instagram Likes [100K] [HQ] [INSTANT - INSTANT] 💧⛔,34 497,10,100000,Quality: MEDIUM bot accounts with profile pictures and no posts.Extra Likes: ~1%.Refill: No refill No refund.
58,932,Instagram Likes [20K] [FAST] [HQ] 💧⛔,35 934,100,10000,
59,938,Instagram Likes [20K] [REAL] [INSTANT - INSTANT] 💧⚡⚡⚡🔥,58 245,50,20000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Mix AccountsExtra Likes: 0% - 20%.
60,1277,Instagram Likes [10K] [HQ] 💧,69 166,10,10000,Quality: HIGH 90% of high quality accounts with profile pictures and posts.Extra Likes: 0% to 5%.Refill: NO REFILL NO REFUND order under your own consent.
61,921,Instagram Likes [30K] [MQ] [INSTANT - INSTANT] 💧⚡⚡⚡,70 379,100,30000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Accounts with profile pictures and no postsExtra Likes: 0%.
62,922,Instagram Likes [50K] [MQ] [INSTANT - INSTANT] ⚡⚡⚡,71 564,100,50000,Start Time: 0 - 1HSpeed: SUPER FAST (after start time)Quality: Accounts with profile pictures and no postsExtra Likes: 0%.
63,923,Instagram Likes [29K] [MQ]💧⛔,72 777,20,29000,Quality: MEDIUM bot accounts with profile pictures and no posts.Extra Likes: 0% to 1%.Refill: No refill No refund.
64,924,Instagram Likes [30K] [MQ] [INSTANT - INSTANT] 💧⚡,74 232,20,30000,Start Time: InstantSpeed: SUPER FASTQuality: MQ AccountsExtra Likes: 0%.
