,ID,Service,Rateper1000,Minorder,Maxorder,Description
0,552,Shopee Followers Indonesia [BOT] [FEMALE] [2K] ⚡️⚡️⚡️⭐,30 000,100,2000,Bot Female Indonesia High Quality Fast Start Fast Process
1,1097,Tiktok Views [10M] [1H - 50K/Day],749,100,10000000,
2,1092,Tiktok Likes [1K] [NO REFILL] [FAST],107 290,200,5000,
3,1282,Tiktok Likes [30K] [R30] [1H - 5K/Day],139 017,20,30000,- Quality = Good Avatars !- Start Time = Instant (Can take up to 2 hours sometimes)- Speed = 5K Per Day- Refill = 30 Days
4,1095,Tiktok Likes [10K] [4H - 150/Day] [REAL],159 687,50,10000,
5,1098,Tiktok Likes [10K] [R30] [1H - 200/Day] [REAL],173 506,50,30000,
6,1284,TikTok Followers [5K] [R60] [1H - 500/Day],118 518,500,5000,- CHEAPEST IN THE MARKET- NON DROP- 90 DAYS REFILL GUARANTEE- START TIME 1-2 MINUTES- SPEED 30.000/DAY- MINIMUM 10- MAXIMUM 30 000
7,1283,TikTok Followers [30K] [R30] [1H - 5K/Day],139 017,20,30000,- Quality = Good Avatars !- Start Time = Instant (Can take up to 2 hours sometimes)- Speed = 5K Per Day- Refill = 30 Days
8,1094,TikTok Followers [5K] [Lifetime Guarantee] [24H - 1K/Day],134 736,500,5000,Start Time = Instant - 6HSpeed = 10K - 50K/dayRefill = 120 DaysSpecs = Send FULL LINK!
9,1099,Tiktok Followers [10K] [R30] [1H - 200/Day] [REAL],172 441,50,30000,
10,1096,Tiktok Followers [10K] [4H - 150/Day] [REAL],239 530,50,10000,
11,1101,TikTok AUTO Views [MONTHLY PACKAGE],249 510,500,10000000,
12,170,Instagram Followers Aktif Indonesia ⚡️⚡️⚡️,70 000,100,500,Username OnlyReal IndonesiaProses instantUsername yang sama tunggu orderan sebelumnya selesaiMinimum 100No Refill
13,1370,Instagram Followers Aktif Indonesia ⚡️⚡️⚡️ [Bonus++),85 000,100,1000,Username OnlyReal IndonesiaProses instantUsername yang sama tunggu orderan sebelumnya selesaiMinimum 100No RefillBonus followers sekitar 5-10%
14,1369,Instagram Likes Aktif INDONESIA [MPL TESTING S1] ⚡️,19 000,100,500,
15,1383,Instagram Likes Aktif INDONESIA [MPL TESTING S2] ⚡️,20 000,100,1000,
16,1290,Instagram Likes Aktif INDONESIA [MPL EXCLUSIVE] ⚡️⚡️⚡️,30 000,100,500,Real IndonesiaInstant Start! Instant DeliveryMinimum 100No Refill / No Refund
17,185,Instagram Likes Aktif INDONESIA S1 ⚡️⚡️⚡️,40 000,100,1000,Real Indonesia0-12 Hour Start! Instant DeliveryMinimum 100No Refill / No Refund
18,1378,Instagram Likes + Impressions [30K] [R30] [INSTANT - INSTANT] ♻️,19 461,50,30000,Start Time & Speed: Instant - 1-3K/HourQuality: Bots HQ Refill: 30 days!Extra Likes: 0% to 5%.HIGH CHANCE OF YOUR POST GOING TO THE EXPLORE PAGE
19,1367,Instagram Likes [5K - LIMITED OFFER] ⛔🔥💧,5 140,10,15000,MPL LIMITED OFFER!Min = 10Max = 15KSpeed = 1K per Hour
20,1360,Instagram Likes [5K] [Bots with PP] [FAST],3 695,10,5000,
21,1350,Instagram Likes [BETA - FAST - EXCLUSIVE],7 476,10,25000,BETA Service CHEAPESTWORKING GOOD
22,1380,Instagram Likes [100K] [AR3] [SUPER SUPER FAST] ⛔🔥💧♻️,17 075,10,100000,Quality: MEDIUM bot accounts with profile pictures and no posts.Extra Likes: ~1%.Refill: auto refill 1 times in 3 days (auto refills for drop every 30 mins)Drop rate: 15%
23,1379,Instagram Likes + Random Impression + Random Profile Visits [100K] [SUPER FAST - NO REFILL],7 115,10,100000,NO REFILL in case of drop!+ Random Impression and Profile Visits
24,906,Instagram Likes [20K] [LQ - SLOW] [1H - 1K/Day],7 486,20,20000,CHEAPESTStart Time: 0 - 1HSpeed: 500 to 1K/DayQuality: SLOW Speed with LQ Accounts with no profile pictures Extra Likes: 0% - 20%.
25,907,Instagram Likes [15K] [MPL EXCLUSIVE - 1.5K/Hour] [WITH PP] ⚡🔥💧⛔,7 476,10,15000,
26,1265,Instagram Likes [30K] [LQ] 💧,15 291,50,3000,Quality: Low Quality SUPER FAST !Refill: NO REFILL NO REFUND order under your own consent.
27,916,Instagram Likes [1K] [LQ] [1H - 1K/Day] 💧,9 981,20,1000,
28,908,Instagram Likes [10K] [MPL EXCLUSIVE S2 - SUPER FAST] [WITH PP] ⚡⚡⚡⚡💧,12 975,20,10000,FASTESTCHEAPESTLIKES WITH PROFILE PICTURESIN THE MARKET
29,918,Instagram Likes [200K] [MQ] [INSTANT - 5K/Day] 💧⛔,16 975,10,500000,Start Time: 0 - 1HSpeed: 3-5K/DayQuality: MQ AccountsExtra Likes: 0% - 5%.
30,912,Instagram Likes [10K] [5K/HOUR] 🔥🔥🔥🔥🔥,16 448,15,10000,
31,913,Instagram Likes [10K] [10K in 10 Minutes / May Take 5 Mins to Start] [S1 - NOT ALWAYS ENABLED] 🔥🔥🔥⚡⚡⚡,17 146,15,10000,
32,1382,Instagram Likes [10K] [SUPER REAL] [INSTANT - 3K/Hour],25 548,100,10000,Start Time & Speed: Instant - 1-3K/HourQuality: Real. Extra Likes: 0% to 5%.HIGH CHANCE OF YOUR POST GOING TO THE EXPLORE PAGE
33,1365,Instagram Likes [INDIA] [BOTS - FAST],17 445,10,10000,
34,1368,Instagram Likes [100K] [HQ] [INSTANT - 3K/Hour],17 943,10,100000,
35,929,Instagram Likes [5K] [NATURAL INCREASE/SLOW] [REAL LOOKING] 🔥,22 429,20,5000,
36,919,Instagram Likes [100K] [1H - FAST] [R30] ♻,25 451,50,100000,Start Time: Instant to 4 HoursSpeed: 5K/ day Refill: 30 daysSpecs: MAY OVERLOAD
37,909,Instagram Likes [10K] [MPL EXCLUSIVE S3 - SUPER SUPER FAST] [WITH PP] ⚡⚡⚡⚡💧,23 675,20,100000,
38,925,Instagram Likes + Impressions + Reach [5K] [INSTANT - 1K/Day] 🔥,20 091,20,5000,Bot accounts with profile pictures but no posts
39,926,Instagram Likes [45K] [SUPER HQ] [INSTANT - 5K/Day] 🔥🔥🔥,22 634,100,45000,Start Time: 0 - 1HQuality: HQ Accounts with profile pictures and postsExtra Likes: 0% - 20%.
