,ID,Service,Rateper1000,Minorder,Maxorder,Averagetime,Description
0,630,Instagram Followers | LESS DROP | Max 5K 🔥🔥,1.90,100,5000,27 hours,Always Very Less Drop!!No Refill / No Refund1K / Day speedMin 100Max 5000Start: 0 - 10 Mins
1,656,Instagram Likes [100% Real Accounts⚡⚡] - [Speed 1K / Hour],0.57,20,50000,7 hours and 55 minutes,Non Drop LikesSpeed: 1K / Hour
2,654,Instagram Likes [Real Likes] [2K / Day] [10K],0.65,100,10000,6 hours and 53 minutes,Non Drop Likes.2K / DayQuality: https://prnt.sc/sanzet
3,535,Youtube Views [20K / Day] [ Retention 30 Sec - 3 Mins] [Lifetime Guaranteed],1.20,1000,1000000,10 hours and 13 minutes,Min : 30 Sec to 3 Mins RententionLifetime Guarantee!
4,549,Youtube Views [100K - 200K / Day] [Non Drop Views] [Lifetime Guaranteed] [ Instant Start],1.35,1000,10000000,Not enough data,Non Drop ViewsRetention : 30 sec to 5 minsInstant StartSpeed: 200K / Day
5,340,Youtube Views (30K / Day) (Instant Start) (Non Drop),1.60,1000,10000000,Not enough data,Instant StartRetention: 10 Seconds - 5 Mins [Random Sometimes]Lifetime Guarantee
6,692,Instagram Followers [Refill 30] [0 - 5 Hours] [2K / Day] (Max 20k),4.00,20,20000,15 hours and 53 minutes,
7,320,Instagram Followers [Guaranteed] [FASTEST] [Refill 30] [50K],6.50,50,50000,8 hours and 35 minutes,Start: InstantRefill: 30 DaysRefill Button Enabled.
8,18,Instagram Likes (Instant) [5K / Hour] [30K] 🚀,0.29,20,10000,1 hour and 22 minutes,High drop
9,476,Instagram Likes (SUPER FAST) (30K / Hour) ⚡️🔥🔥{0.8$},0.80,10,30000,4 hours and 26 minutes,Always InstantSpeed: 30K / Hour
10,661,Facebook Post Likes (Instanat Start) [Max 10K],3.10,50,10000,8 hours and 11 minutes,
11,669,Youtube Views [10K / Day Speed] - [Lifetime Guarantee] - Retention Changed,1.25,1000,1000000,10 hours and 45 minutes,Retention Random5 Sec to 5 Mins
12,274,Youtube Views [20 - 30K / Day] [Lifetime Guaranteed],1.40,1000,1000000,8 hours and 45 minutes,
13,668,Tiktok - Views - [ SUPER INSTANT] - [ SPEED 10M / HOUR],0.006,100,1000000000,10 minutes,
14,658,Tiktok - Likes - [5K / Day Speed] [Max 10K],1.08,100,10000,4 hours and 55 minutes,No RefillSpeed : 5K / DayMin 100Max 10000
