,ID,Name,Description,Price Per 1000,Min,Max
0,31,YouTube Views [200k - 300k/ day ] - No refill,Instant Start    100k-200k/day speed    OVERDELIVERY,                                                                                         $1.55                                         ,2000,10000000
1,161,Rs 64 Instagram Indian Followers 75% (max-10k),- Indian Followers 70%-75%  - High Quality   - Mostly Indian & Asian User!   - Special Discount For API User  ,                                                                                         $0.94                                         ,100,10000
2,162,Rs 22 Instagram FEMALE Likes ( Max 10k ),- Min - 100 Max - 20K  - Females only   - Lifetime   - Non drop ,                                                                                         $0.3                                         ,500,10000
3,166,Rs 2 Instagram Likes [ Max -5k ] [ WORKING FINE ] ⚡️,-Cheap  -Instant To 4 Hours  - No Cencel/No Partial,                                                                                         $0.04                                         ,250,5000
4,196,Rs. 1 - Instagram Likes -  (Min 200 - Max 2.5K) ,- CHEAPEST  - Slow Some Time  - Discount Enabled For Api Users .  -  Discount  35%,                                                                                         $0.02                                         ,500,2500
5,201,Instagram Views + Impressions [ MAX- 1M ] [ Natural Increase ] INSTANT,Instagram Views + Impressions [ MAX- 1M ] [ Natural Increase ] INSTANT,                                                                                         $0.5573                                         ,100,1000000
6,202,Instagram Followers [ Max - 10k [ No refill ] INSTANT-6HRS,Instagram Followers [ Max - 10k [ No refill ] INSTANT-6HRS,                                                                                         $14.8608                                         ,200,10000
7,7,Facebook Page Likes [7 DAY REFIAL] 🔥🔥🔥 (FAST+ CHEAP) ,- 7days refill  - 10k per day MAX,                                                                                         $11.8                                         ,100,1000000
8,9,Facebook Page Likes - ( MAX - 50k ) - FAST,REFILL BUTTON ENABLED   20 days manual refill    10k- 30k/day,                                                                                         $12.45                                         ,500,50000
9,10,Facebook - Status  Photo Likes- INDIAN,Targeted Indian   ONLY DESKTOP LINK ,                                                                                         $1                                         ,500,10000
10,11,Facebook Post Reactions ( RANDOM ),FAST 0 - 1 HOUR,                                                                                         $5                                         ,100,50000
11,12,Facebook - Status Likes   Photo Likes- INDIAN only,Targeted Indian   ONLY DESKTOP LINK,                                                                                         $1                                         ,500,100000
12,13,FB Post Reaction - [Sad],High quality    Instant delivery,                                                                                         $0.6                                         ,100,5000
13,14,"FB Post Reaction ""HaHa""",High quality    Instant delivery,                                                                                         $0.5                                         ,100,5000
14,15,"FB Post Reaction ""WoW""",High quality    Instant delivery,                                                                                         $0.5                                         ,100,5000
15,16," FB Post Reaction ""Angry""",High quality    Instant delivery,                                                                                         $0.5                                         ,100,5000
16,17,"FB Post Reaction ""Love""",High quality    Instant delivery,                                                                                         $0.6                                         ,100,5000
